record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
30,-2.0273132,3.0148153,0.15931886,-0.22502713,-2.1566763,-0.57196224,-0.6340325,0.03196765,-0.41372174,-1.3259943,0.39460927,-3.0490818,3.7428992,-0.85028267,0.30599007,1.3634281,0.14403687,0.77301985,0.86833787,-1.396616,0.24969068,-0.8091693,0.25936416,1.8501981,-0.6498139,0.00058635324,-2.2002952,-0.67778695,1.9984484,-3.269763,-0.13033839,-3.0905168
31,0.8835359,0.5048592,2.0669668,3.114962,-2.273597,1.2280279,-0.55483633,-1.836015,2.1921015,-1.8626168,-0.5757379,1.1103796,0.29357457,-1.886572,-0.35096097,1.8993518,-1.1991153,0.43006873,-0.23813663,1.4308567,-2.027894,0.43653405,-1.0810789,1.1471839,0.13780382,-1.5729939,-2.2771869,1.0002413,0.85619044,0.7032817,0.143603,-1.6983339
33,-0.10103007,-0.48896092,2.7393303,3.9911997,-2.8769329,2.9497588,-0.73972535,-1.0873348,1.9652499,-1.2761142,-0.86367434,-0.47862354,-0.033298448,-0.40405035,-1.7233905,2.304796,-0.8263122,-0.3597981,-1.1295718,2.3573744,-0.98837245,-1.6514677,0.40343526,3.775011,-0.44852322,-1.6271119,-3.6194754,0.6116753,1.5548135,2.9720206,-1.1333048,-2.4788928
32,-0.1346731,-2.0196671,0.44753364,2.1635146,-3.957166,2.3241496,-0.51203173,-1.423804,2.554093,1.5732529,-0.43644965,-1.5939581,2.1370873,-1.014589,-1.8943642,1.1705745,-2.7906098,0.7558149,-4.210323,1.438199,-1.7956986,-1.1487594,-1.1782427,0.4591106,-0.25222847,1.0433114,0.5534541,0.3938512,1.1248775,2.74569,-2.473383,-3.4900858
35,-0.44846255,-0.26010048,2.7448666,4.6543694,-3.1390848,1.5587275,-0.47786304,-1.2108198,2.5037985,-0.8224096,-0.63376147,-0.65086406,1.1283344,-1.8326249,-1.3820162,2.3994474,-0.7291333,-0.646557,-0.65346766,0.39695206,0.5567243,-1.1620768,-0.6721953,3.1911516,-1.0068662,-0.4731291,-2.9580624,-0.6230002,1.2982844,2.4579978,-0.8191521,-3.3442805
37,0.7946574,0.87987983,1.3751361,3.2673483,-0.9255949,1.0510411,-0.40773982,-0.86862373,1.6209719,-1.7019887,-1.0035669,1.5648146,0.36893237,-2.4674945,0.23129052,0.97799665,-1.8137064,1.1218268,-1.3755258,1.4534924,-0.6755544,0.022417307,-0.37490368,-0.5038152,-0.47048968,-1.3292683,-1.6564862,0.5376391,1.3482878,-0.7855028,1.940175,-0.5352851
34,1.8607584,-0.9503665,0.4515558,-2.3036964,-3.9531326,1.6709297,-0.21781234,-0.7078543,0.50665474,2.961348,1.4154745,0.4488677,0.023217462,1.3059866,-1.103626,-4.183434,0.16217594,-0.71171546,-1.2107376,5.5782924,0.6802211,-2.228598,0.18045127,0.8209535,0.40010777,-1.5058657,1.1606694,0.70821595,-4.041836,1.356907,-5.61082,0.13270082
36,0.5846046,0.050297238,2.184159,2.0261304,-3.4028602,2.304037,-0.23015198,-0.81094724,0.7181493,-1.022081,-1.1491681,0.44161582,1.0574389,-1.8508861,-0.7207618,0.70330346,-1.0357171,-0.8617277,-1.0256553,-0.2781784,0.928018,1.2912849,-0.08523888,0.17426997,0.81061304,0.3753907,-1.3747855,-0.8619322,0.7120856,2.8269796,-1.2411706,-4.2303786
38,1.5358069,-0.6517315,2.06454,4.6167226,-2.8447137,0.76888514,1.0463707,-1.061477,1.5896851,-0.7426282,0.16431032,1.5739428,-0.16633753,-2.1602995,-1.1690404,0.7154583,-1.66778,0.6399344,-3.1583276,0.4842925,0.17898941,2.1297562,-1.5881165,-0.9816221,-0.22412106,-1.0974212,-0.5777956,0.34661666,-0.068563215,2.6986055,-0.8186295,-2.6234367
39,0.5425479,1.3868006,0.9790777,-3.6832683,-1.4150516,1.5899296,-0.52569747,1.3075751,-1.3898712,-0.0065956563,-0.9915994,-0.25471917,0.4458294,1.8096501,0.73646235,-2.952137,0.7197853,-0.6381444,-0.32149237,2.5660186,2.5281107,0.07893674,1.4024274,-0.17467228,0.5256468,-1.0708544,0.16511846,0.8593961,-1.7993184,-0.206182,-2.6506832,-1.1185774
